,Model Parameters,Training Loss,Validation Loss,Validation Accuracy,Test Accuracy
3,29346477,0.00016570344450883567,0.151131272315979,0.963350772857666,0.9712041616439819
0,29410221,0.00032868707785382867,0.21673034131526947,0.9371727705001831,0.9712041616439819
1,55822509,0.00010314304381608963,0.25680020451545715,0.9162303805351257,0.9214659929275513
2,55837997,0.002419566037133336,0.2311972975730896,0.9319371581077576,0.9319371581077576
4,108120109,0.006270158104598522,0.21949811279773712,0.9371727705001831,0.9476439952850342
